City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
27,Sovetskaya Gavan,RU,2022-02-02 21:26:31,48.9723,140.2878,0.63,85,11,6.11
28,Puerto Leguizamo,CO,2022-02-02 21:26:31,-0.1934,-74.7819,86.32,52,94,1.74
29,Vanavara,RU,2022-02-02 21:26:31,60.34,102.2797,-12.41,100,92,2.71
30,Punta Arenas,CL,2022-02-02 21:25:53,-53.15,-70.9167,48.31,76,75,9.22
31,Bolobo,CD,2022-02-02 21:26:32,-2.1667,16.2333,74.75,87,100,2.59
32,Thompson,CA,2022-02-02 21:26:32,55.7435,-97.8558,-9.24,54,20,14.97
33,Sept-Iles,CA,2022-02-02 21:26:33,50.2001,-66.3821,26.06,92,100,1.01
34,Sitangkai,PH,2022-02-02 21:26:33,4.6628,119.3928,80.82,74,96,8.03
35,Hilo,US,2022-02-02 21:26:23,19.7297,-155.09,77.11,69,40,6.91
36,Byron Bay,AU,2022-02-02 21:26:34,-28.65,153.6167,77.05,93,98,9.64
37,Bardiyah,LY,2022-02-02 21:26:34,31.7561,25.0865,54.12,68,100,11.79
38,Marsaxlokk,MT,2022-02-02 21:26:34,35.8419,14.5431,56.08,87,0,12.66
39,Lorengau,PG,2022-02-02 21:26:35,-2.0226,147.2712,79.39,80,100,11.83
40,Airai,TL,2022-02-02 21:26:35,-8.9266,125.4092,60.28,89,100,2.26
41,Pucallpa,PE,2022-02-02 21:26:36,-8.3791,-74.5539,89.64,58,75,2.3
42,Nikolskoye,RU,2022-02-02 21:26:36,59.7035,30.7861,22.89,98,99,1.41
43,Arraial Do Cabo,BR,2022-02-02 21:26:37,-22.9661,-42.0278,78.76,89,75,3.44
44,Emerald,AU,2022-02-02 21:21:53,-23.5333,148.1667,73.35,93,100,10.63
45,Albany,US,2022-02-02 21:24:53,42.6001,-73.9662,43.81,74,77,8.75
46,Hobart,AU,2022-02-02 21:24:59,-42.8794,147.3294,57.06,65,40,1.01
47,Bluff,NZ,2022-02-02 21:27:37,-46.6,168.3333,57.79,69,100,16.17
48,Umaria,IN,2022-02-02 21:27:38,23.5333,80.8333,58.98,45,13,3.0
49,Olbia,IT,2022-02-02 21:27:38,40.9214,9.4856,53.65,76,0,13.8
50,Puerto Ayora,EC,2022-02-02 21:27:39,-0.7393,-90.3518,82.36,88,40,5.99
51,Norman Wells,CA,2022-02-02 21:27:39,65.282,-126.8329,-21.96,69,75,10.36
52,Morant Bay,JM,2022-02-02 21:27:39,17.8815,-76.4093,83.82,69,0,10.92
53,Bandarbeyla,SO,2022-02-02 21:27:40,9.4942,50.8122,75.02,73,19,16.6
54,Saskatoon,CA,2022-02-02 21:27:40,52.1168,-106.6345,-11.83,73,20,5.01
55,Vardo,NO,2022-02-02 21:27:41,70.3705,31.1107,28.38,86,75,14.97
56,Ternate,ID,2022-02-02 21:27:41,0.8,127.4,78.24,82,100,4.65
57,Faanui,PF,2022-02-02 21:27:41,-16.4833,-151.75,80.85,75,23,17.0
58,Barrow,US,2022-02-02 21:27:42,71.2906,-156.7887,-20.18,69,0,4.61
59,Hithadhoo,MV,2022-02-02 21:27:42,-0.6,73.0833,81.97,70,72,7.38
60,Korla,CN,2022-02-02 21:27:43,41.7597,86.1469,23.56,56,13,6.31
61,Manuk Mangkaw,PH,2022-02-02 21:27:43,4.8,119.85,80.82,73,93,5.88
62,Kangaatsiaq,GL,2022-02-02 21:27:43,68.3065,-53.4641,-7.08,86,100,16.55
63,Cidreira,BR,2022-02-02 21:25:28,-30.1811,-50.2056,77.11,81,0,16.31
64,Oro Valley,US,2022-02-02 21:27:44,32.3909,-110.9665,61.81,19,27,10.0
65,Mahebourg,MU,2022-02-02 21:27:44,-20.4081,57.7,79.09,100,75,33.38
66,Pitimbu,BR,2022-02-02 21:27:45,-7.4706,-34.8086,82.99,70,58,12.46
67,Grand Gaube,MU,2022-02-02 21:22:51,-20.0064,57.6608,79.38,87,100,20.0
68,Victoria,HK,2022-02-02 21:27:45,22.2855,114.1577,57.25,90,100,8.99
69,Akyab,MM,2022-02-02 21:27:46,20.15,92.9,63.45,74,4,6.4
70,Sobolevo,RU,2022-02-02 21:27:46,54.4299,31.8996,24.22,96,100,8.9
