City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
441,Vila Velha,BR,78.75,Broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
447,Wad Madani,SD,82.36,Overcast clouds,14.4012,33.5199,فندق يوغسلافيا
448,Sarangani,PH,81.12,Light rain,5.4033,125.4636,Ballistic Islet
455,Punta Cardon,VE,82.96,Clear sky,11.6581,-70.215,Bambuda hotel
465,La Libertad,EC,85.66,Clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
467,Nsanje,MW,79.25,Scattered clouds,-16.92,35.262,Nsanje Discovery Lodge
471,Bahia Blanca,AR,87.31,Few clouds,-38.7196,-62.2724,Hotel Argos
472,Arenapolis,BR,84.94,Broken clouds,-14.4503,-56.8461,Mato Grosso Hotel
483,Fare,PF,80.62,Clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
486,Mlandizi,TZ,77.65,Broken clouds,-6.7,38.7333,Amazon Lodge..
487,Piacabucu,BR,83.48,Overcast clouds,-10.4056,-36.4344,Piaçabuçu News
489,Kavieng,PG,80.67,Light rain,-2.5744,150.7967,Nusa Island Retreat
490,Kailua,US,77.65,Scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
492,Saint-Joseph,RE,79.16,Heavy intensity rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
493,Anito,PH,77.81,Very heavy rain,12.4497,125.2886,FELIPA LAODENIO PROPERTY
494,Valdez,EC,79.81,Few clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
496,Buala,SB,78.78,Light rain,-8.145,159.5921,Maringe Lagoon Lodge
502,San Juan,AR,89.8,Clear sky,-31.5375,-68.5364,Hotel Provincial
503,Ikom,NG,84.27,Broken clouds,5.9667,8.7063,Reho Farm & Resort
504,Palora,EC,77.11,Broken clouds,-1.7,-77.9333,Rancho grande
512,Meulaboh,ID,75.81,Overcast clouds,4.1363,96.1285,Kost Pria
513,Paraiso,CR,83.88,Clear sky,9.8383,-83.8656,Hotel Rinconcito Verde
515,Nanakuli,US,77.61,Clear sky,21.3906,-158.1547,Camp Pālehua
518,Santa Cruz,BO,89.65,Scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
524,Quatre Cocos,MU,80.1,Moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
528,Kandrian,PG,78.66,Overcast clouds,-6.2167,149.55,Kandrian Station
532,Nauta,PE,79.86,Moderate rain,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
533,Vaitape,PF,80.02,Overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
540,Sinnamary,GF,78.8,Light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
541,Parana,AR,88.39,Overcast clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
545,Mogadishu,SO,78.15,Few clouds,2.0371,45.3438,Hotel Juba
546,Tarakan,ID,76.5,Few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
555,Sabang,ID,80.56,Scattered clouds,5.8933,95.3214,Hotel Citra
563,Chimbote,PE,76.15,Overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
564,Dapaong,TG,80.47,Scattered clouds,10.8639,0.205,Hotel Caroli
567,Prado,BR,82.08,Overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
569,Pundaguitan,PH,78.08,Moderate rain,6.3711,126.1689,Leonardo Family Beach House 1
581,Kununurra,AU,78.78,Overcast clouds,-15.7667,128.7333,Hotel Kununurra
583,Chaparral,CO,83.95,Overcast clouds,3.7232,-75.4832,HOTEL AMBEIMA
591,Cancun,MX,84.13,Broken clouds,21.1743,-86.8466,Hotel Tankah Cancun
596,Rawson,AR,77.49,Broken clouds,-43.3002,-65.1023,Hosteria Sampedro
607,Mucuri,BR,82.51,Scattered clouds,-18.0864,-39.5508,La Bodeguita Pousada
608,Korhogo,CI,78.64,Clear sky,9.45,-5.6333,Hôtel Tchinbota
609,Lafia,NG,85.42,Few clouds,8.4833,8.5167,Low Cost Housing Estate
610,Sao Miguel Do Iguacu,BR,89.04,Overcast clouds,-25.3481,-54.2378,Hotel Itaguaçu
612,Barra Do Garcas,BR,79.38,Broken clouds,-15.89,-52.2567,Pousada Tropical
615,Kassala,SD,83.77,Broken clouds,15.451,36.4,Amassi Hotel Gash
623,Davila,PH,76.46,Few clouds,18.4726,120.5763,Blue Ridge Beach Resort
624,Benjamin Constant,BR,82.53,Moderate rain,-4.3831,-70.0311,CASA AVALIADA
627,Queimados,BR,84.06,Moderate rain,-22.7161,-43.5553,Logic Queimados
628,Saint-Paul,RE,80.69,Heavy intensity rain,-21.0096,55.2707,Boucan Canot
629,Monrovia,LR,82.17,Broken clouds,6.3005,-10.7969,Sunset Inn
630,Yako,BF,77.22,Clear sky,12.9667,-2.2667,CADAAY
632,Wanlaweyn,SO,79.63,Overcast clouds,2.6185,44.8938,GAASHAAN HOME
636,Realeza,BR,79.05,Overcast clouds,-25.7689,-53.5325,Hotel Renascer
643,Santa Maria Da Vitoria,BR,84.97,Broken clouds,-13.3947,-44.1886,Pousada Rio Current
653,Ejutla De Crespo,MX,77.95,Clear sky,16.5667,-96.7333,Hotel en ejutla
654,Xuddur,SO,79.68,Overcast clouds,4.1213,43.8894,Banjanay Hotel
655,Nata,PA,89.47,Few clouds,8.3333,-80.5167,Rey David
657,Samarai,PG,79.77,Overcast clouds,-10.6167,150.6667,Nuli Sapi
665,Pontes E Lacerda,BR,82.27,Light rain,-15.2261,-59.3353,Hotel Bressan
667,Kaduqli,SD,82.18,Overcast clouds,11.0167,29.7167,فندق الله جابو
670,Gambela,ET,88.47,Overcast clouds,8.25,34.5833,Solomon Debebe Hotel
682,Mayumba,GA,76.8,Overcast clouds,-3.432,10.6554,LIKWALE LODGE
683,Rio Brilhante,BR,81.64,Scattered clouds,-21.8019,-54.5464,Hotel Cattani
688,Nuevo Progreso,MX,79.59,Scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
690,Imbituba,BR,84.09,Broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
691,Bonthe,SL,80.44,Clear sky,7.5264,-12.505,Bonthe Holiday Village
699,Cobija,BO,87.98,Scattered clouds,-11.0267,-68.7692,Hotel Obelisco
